,rent_time,rent_s_no,time,s_no
90968,2023-04-03 06:57:09,501203080,2023-04-03 07:14:12,501205029
90969,2023-04-03 06:57:12,501203080,2023-04-03 07:11:23,501205008
90981,2023-04-03 06:58:10,501205005,2023-04-03 07:04:39,501205008
90987,2023-04-03 06:58:18,501205033,2023-04-03 07:21:56,501205033
90990,2023-04-03 06:58:29,501205005,2023-04-03 07:05:37,501205008
90991,2023-04-03 06:58:36,501201020,2023-04-03 07:07:11,501205003
91040,2023-04-03 07:01:32,501201006,2023-04-03 07:18:29,501204023
91052,2023-04-03 07:02:39,501201005,2023-04-03 07:25:20,501205003
91095,2023-04-03 07:05:18,501205008,2023-04-03 08:54:57,501205005
91099,2023-04-03 07:05:37,501205031,2023-04-03 08:08:08,501204007
91121,2023-04-03 07:06:47,501206080,2023-04-03 08:23:06,501204014
91123,2023-04-03 07:06:49,501208053,2023-04-03 07:15:57,501205012
91129,2023-04-03 07:07:23,501208053,2023-04-03 07:15:38,501205012
91132,2023-04-03 07:07:48,501208053,2023-04-03 07:15:41,501205012
91149,2023-04-03 07:09:29,501206080,2023-04-03 08:23:03,501204014
91152,2023-04-03 07:09:43,501201002,2023-04-03 07:13:27,501205021
91212,2023-04-03 07:13:39,501205008,2023-04-03 07:47:42,501205004
91215,2023-04-03 07:13:51,501205034,2023-04-03 08:50:35,501205034
91239,2023-04-03 07:15:16,501205031,2023-04-03 07:31:37,501205038
91265,2023-04-03 07:16:37,501203051,2023-04-03 07:37:17,501205004
91269,2023-04-03 07:16:43,501204009,2023-04-03 07:40:47,501204009
91270,2023-04-03 07:16:43,501204009,2023-04-03 07:40:35,501204009
91273,2023-04-03 07:16:54,501203051,2023-04-03 07:37:18,501205004
91277,2023-04-03 07:17:19,501205014,2023-04-03 07:23:03,501205009
91294,2023-04-03 07:18:39,501205025,2023-04-03 07:25:01,501205020
91296,2023-04-03 07:18:41,501203064,2023-04-03 07:37:14,501205004
91301,2023-04-03 07:19:20,501204018,2023-04-03 07:51:19,501204020
91310,2023-04-03 07:19:47,501205039,2023-04-03 08:00:18,501205039
91367,2023-04-03 07:22:57,501201017,2023-04-03 07:25:38,501205006
91397,2023-04-03 07:24:47,501205025,2023-04-03 07:28:16,501205020
91403,2023-04-03 07:24:58,501202046,2023-04-03 07:52:26,501205023
91405,2023-04-03 07:25:01,501203093,2023-04-03 07:53:12,501205015
91408,2023-04-03 07:25:16,501205025,2023-04-03 07:28:28,501205020
91422,2023-04-03 07:25:50,501204023,2023-04-03 07:36:01,501205008
91432,2023-04-03 07:26:19,501203110,2023-04-03 07:36:08,501205021
91455,2023-04-03 07:28:16,501203117,2023-04-03 07:45:17,501205023
91482,2023-04-03 07:30:08,501205028,2023-04-03 07:32:22,501205013
91487,2023-04-03 07:30:30,501204013,2023-04-03 07:57:53,501204013
91494,2023-04-03 07:30:47,501205006,2023-04-03 07:38:36,501205037
91498,2023-04-03 07:30:55,501201007,2023-04-03 07:36:43,501205001
91512,2023-04-03 07:31:56,501201022,2023-04-03 07:44:51,501205021
91525,2023-04-03 07:32:25,501205029,2023-04-03 07:40:12,501205029
91532,2023-04-03 07:32:58,501209070,2023-04-03 08:10:44,501204011
91547,2023-04-03 07:33:52,501208053,2023-04-03 07:49:45,501205005
91548,2023-04-03 07:33:55,501204014,2023-04-03 07:41:40,501204020
91555,2023-04-03 07:34:24,501205023,2023-04-03 08:47:58,501205023
91558,2023-04-03 07:34:30,501205018,2023-04-03 07:36:52,501205021
91574,2023-04-03 07:35:07,501204013,2023-04-03 07:48:20,501205001
91632,2023-04-03 07:38:28,501205028,2023-04-03 07:41:29,501205013
91635,2023-04-03 07:38:33,501205026,2023-04-03 08:08:34,501205037
91648,2023-04-03 07:39:15,501205012,2023-04-03 07:46:02,501205020
91668,2023-04-03 07:40:17,501204003,2023-04-03 07:49:46,501204008
91672,2023-04-03 07:40:29,501203084,2023-04-03 07:51:40,501204018
91673,2023-04-03 07:40:30,501209069,2023-04-03 08:05:06,501205028
91697,2023-04-03 07:41:30,501209043,2023-04-03 07:58:16,501205028
91712,2023-04-03 07:42:21,501205025,2023-04-03 07:48:55,501205001
91739,2023-04-03 07:43:59,501209026,2023-04-03 08:43:43,501204020
91754,2023-04-03 07:44:40,501203140,2023-04-03 08:11:04,501205009
91755,2023-04-03 07:44:44,501209024,2023-04-03 08:01:18,501205010
91765,2023-04-03 07:45:24,501204024,2023-04-03 08:17:29,501204017
91770,2023-04-03 07:45:29,501204024,2023-04-03 08:17:34,501204017
91804,2023-04-03 07:46:28,501205007,2023-04-03 07:48:47,501205021
91844,2023-04-03 07:48:15,501204016,2023-04-03 08:04:47,501204012
91904,2023-04-03 07:51:02,501205010,2023-04-03 07:54:20,501205025
91931,2023-04-03 07:52:02,501205014,2023-04-03 07:58:53,501205009
91984,2023-04-03 07:54:48,501205019,2023-04-03 08:12:15,501205027
91985,2023-04-03 07:54:55,501203082,2023-04-03 08:18:44,501205006
91992,2023-04-03 07:55:13,501205034,2023-04-03 08:01:09,501205025
92001,2023-04-03 07:55:33,501205030,2023-04-03 07:59:15,501205028
92039,2023-04-03 07:57:25,501201030,2023-04-03 08:13:04,501205005
92167,2023-04-03 08:03:47,501204007,2023-04-03 08:43:45,501204014
92222,2023-04-03 08:06:07,501205008,2023-04-03 08:08:36,501205013
92234,2023-04-03 08:06:38,501205019,2023-04-03 08:48:30,501205019
92259,2023-04-03 08:07:39,501204013,2023-04-03 08:13:46,501204024
92262,2023-04-03 08:07:48,501204013,2023-04-03 08:14:02,501204024
92282,2023-04-03 08:08:38,501205019,2023-04-03 08:20:21,501204012
92307,2023-04-03 08:10:14,501205021,2023-04-03 08:15:04,501205007
92325,2023-04-03 08:10:53,501202065,2023-04-03 08:18:34,501205025
92329,2023-04-03 08:11:03,501202020,2023-04-03 08:30:32,501205023
92338,2023-04-03 08:11:21,501202020,2023-04-03 08:30:23,501205023
92406,2023-04-03 08:14:08,501205025,2023-04-03 08:18:52,501205020
92438,2023-04-03 08:15:09,501209094,2023-04-03 08:39:21,501204011
92441,2023-04-03 08:15:18,501203110,2023-04-03 08:29:04,501205013
92445,2023-04-03 08:15:28,501209094,2023-04-03 08:39:21,501204011
92476,2023-04-03 08:16:42,501201015,2023-04-03 08:20:23,501205012
92505,2023-04-03 08:18:28,501209042,2023-04-03 08:46:01,501204023
92513,2023-04-03 08:18:45,501202034,2023-04-03 08:35:46,501205005
92515,2023-04-03 08:18:49,501202034,2023-04-03 08:35:40,501205005
92520,2023-04-03 08:18:55,501202034,2023-04-03 08:35:45,501205005
92523,2023-04-03 08:19:00,501202034,2023-04-03 08:35:42,501205005
92530,2023-04-03 08:19:43,501201020,2023-04-03 08:24:30,501205012
92536,2023-04-03 08:20:01,501201013,2023-04-03 08:36:43,501205029
92540,2023-04-03 08:20:15,501208053,2023-04-03 08:35:53,501205005
92611,2023-04-03 08:23:43,501205031,2023-04-03 08:31:21,501205018
92612,2023-04-03 08:23:45,501205031,2023-04-03 08:31:38,501205018
92618,2023-04-03 08:24:02,501204011,2023-04-03 08:26:57,501204024
92665,2023-04-03 08:25:56,501203084,2023-04-03 08:31:46,501205035
92668,2023-04-03 08:26:01,501205025,2023-04-03 08:26:08,501205025
92682,2023-04-03 08:26:42,501209078,2023-04-03 08:55:09,501205005
92692,2023-04-03 08:27:13,501201011,2023-04-03 08:47:57,501205023
92698,2023-04-03 08:27:38,501201013,2023-04-03 08:35:08,501205012
92729,2023-04-03 08:29:01,501205034,2023-04-03 08:40:55,501205006
92734,2023-04-03 08:29:11,501205034,2023-04-03 08:40:59,501205006
92740,2023-04-03 08:29:28,501205022,2023-04-03 08:36:36,501204013
92748,2023-04-03 08:29:52,501204013,2023-04-03 08:40:57,501205001
92790,2023-04-03 08:31:32,501209094,2023-04-03 08:44:19,501205035
92819,2023-04-03 08:33:08,501203102,2023-04-03 08:52:25,501204021
92836,2023-04-03 08:33:42,501202001,2023-04-03 08:52:08,501204013
92846,2023-04-03 08:34:29,501204022,2023-04-03 08:53:13,501204021
92852,2023-04-03 08:34:43,501202085,2023-04-03 08:40:37,501205025
92856,2023-04-03 08:34:56,501204003,2023-04-03 08:43:56,501204013
92858,2023-04-03 08:34:59,501205018,2023-04-03 08:41:08,501205010
92867,2023-04-03 08:35:10,501203013,2023-04-03 08:41:52,501205006
92883,2023-04-03 08:36:12,501204016,2023-04-03 08:40:16,501204015
92944,2023-04-03 08:38:53,501204022,2023-04-03 08:42:07,501204003
92956,2023-04-03 08:39:25,501204022,2023-04-03 08:41:50,501204003
92988,2023-04-03 08:40:38,501205008,2023-04-03 08:54:23,501205007
93199,2023-04-03 08:48:20,501208085,2023-04-03 08:52:50,501205012
93352,2023-04-03 08:54:24,501205031,2023-04-03 08:58:10,501204014
93385,2023-04-03 08:55:29,501205009,2023-04-03 08:57:09,501205012
135832,2023-04-04 05:01:41,501202009,2023-04-04 07:25:37,501205012
135951,2023-04-04 05:44:29,501204008,2023-04-04 06:27:30,501204008
135956,2023-04-04 05:45:17,501205026,2023-04-04 06:36:57,501205028
135959,2023-04-04 05:46:06,501209065,2023-04-04 06:07:37,501204007
136001,2023-04-04 05:54:44,501202088,2023-04-04 06:02:05,501205025
136014,2023-04-04 05:57:40,501203006,2023-04-04 06:09:17,501204009
136021,2023-04-04 05:58:54,501205039,2023-04-04 06:12:59,501205039
136047,2023-04-04 06:04:25,501202083,2023-04-04 06:22:22,501204008
136066,2023-04-04 06:09:30,501203141,2023-04-04 06:15:57,501204023
136081,2023-04-04 06:11:59,501205013,2023-04-04 07:25:24,501205013
136090,2023-04-04 06:13:07,501205011,2023-04-04 06:18:18,501205025
136190,2023-04-04 06:24:52,501204003,2023-04-04 06:28:52,501204021
136193,2023-04-04 06:25:02,501209036,2023-04-04 07:48:02,501204022
136199,2023-04-04 06:25:32,501209036,2023-04-04 07:48:13,501204022
136201,2023-04-04 06:25:47,501201009,2023-04-04 06:51:16,501204007
136240,2023-04-04 06:28:05,501204003,2023-04-04 06:31:33,501204021
136242,2023-04-04 06:28:14,501201007,2023-04-04 06:34:51,501205023
136272,2023-04-04 06:31:14,501202045,2023-04-04 06:59:51,501204013
136303,2023-04-04 06:35:22,501205011,2023-04-04 06:47:09,501205003
136319,2023-04-04 06:38:06,501205007,2023-04-04 07:08:18,501205007
136342,2023-04-04 06:40:41,501205006,2023-04-04 07:06:30,501205006
136352,2023-04-04 06:42:05,501203013,2023-04-04 06:57:08,501205028
136357,2023-04-04 06:42:35,501203013,2023-04-04 06:50:01,501205028
136362,2023-04-04 06:42:57,501205022,2023-04-04 07:40:19,501205022
136380,2023-04-04 06:44:59,501204007,2023-04-04 07:22:44,501205021
136395,2023-04-04 06:46:48,501202050,2023-04-04 06:55:52,501205025
136396,2023-04-04 06:46:49,501209090,2023-04-04 07:08:06,501204014
136408,2023-04-04 06:48:22,501209090,2023-04-04 07:07:59,501204014
136413,2023-04-04 06:48:46,501204009,2023-04-04 08:22:04,501204009
136446,2023-04-04 06:51:53,501204009,2023-04-04 08:22:19,501204009
136456,2023-04-04 06:52:52,501205039,2023-04-04 07:33:08,501205039
136458,2023-04-04 06:53:02,501208065,2023-04-04 07:15:05,501205010
136489,2023-04-04 06:56:23,501202081,2023-04-04 07:19:09,501204014
136506,2023-04-04 06:58:06,501208097,2023-04-04 08:03:51,501204021
136507,2023-04-04 06:58:11,501203117,2023-04-04 07:15:17,501204012
136511,2023-04-04 06:58:20,501208097,2023-04-04 08:04:46,501204021
136524,2023-04-04 06:59:27,501205011,2023-04-04 07:13:19,501205038
136547,2023-04-04 07:00:17,501205022,2023-04-04 07:38:29,501205022
136582,2023-04-04 07:02:46,501203117,2023-04-04 07:25:10,501205010
136600,2023-04-04 07:04:07,501205025,2023-04-04 07:21:27,501205025
136604,2023-04-04 07:04:18,501202083,2023-04-04 07:12:33,501205012
136615,2023-04-04 07:05:16,501202085,2023-04-04 07:12:46,501204024
136616,2023-04-04 07:05:24,501202085,2023-04-04 07:12:42,501204024
136617,2023-04-04 07:05:25,501203141,2023-04-04 07:36:23,501205022
136626,2023-04-04 07:06:01,501204023,2023-04-04 07:49:19,501204023
136661,2023-04-04 07:08:44,501203065,2023-04-04 07:21:45,501205021
136668,2023-04-04 07:09:21,501202083,2023-04-04 07:15:37,501205009
136752,2023-04-04 07:15:26,501203007,2023-04-04 07:29:03,501205011
136759,2023-04-04 07:15:51,501201017,2023-04-04 07:20:59,501205006
136770,2023-04-04 07:16:26,501203138,2023-04-04 07:35:21,501205012
136776,2023-04-04 07:16:43,501203138,2023-04-04 07:35:14,501205012
136803,2023-04-04 07:19:00,501201026,2023-04-04 07:38:13,501205026
136847,2023-04-04 07:21:30,501204016,2023-04-04 08:35:29,501204016
136851,2023-04-04 07:21:50,501205014,2023-04-04 07:52:51,501205014
136852,2023-04-04 07:21:55,501203117,2023-04-04 07:48:01,501205023
136905,2023-04-04 07:25:05,501203093,2023-04-04 07:53:19,501205015
136939,2023-04-04 07:27:19,501201022,2023-04-04 07:41:20,501205021
136955,2023-04-04 07:28:54,501205031,2023-04-04 07:48:47,501205031
136957,2023-04-04 07:29:09,501203110,2023-04-04 07:40:00,501205021
136969,2023-04-04 07:29:46,501205010,2023-04-04 07:51:32,501205010
136975,2023-04-04 07:30:12,501204002,2023-04-04 07:48:28,501204002
136992,2023-04-04 07:31:14,501205010,2023-04-04 07:33:21,501205025
136995,2023-04-04 07:31:18,501205028,2023-04-04 07:42:23,501205019
137020,2023-04-04 07:32:18,501205034,2023-04-04 08:45:02,501205034
137045,2023-04-04 07:33:28,501203110,2023-04-04 07:45:37,501205018
137052,2023-04-04 07:33:50,501204013,2023-04-04 07:44:39,501205021
137069,2023-04-04 07:34:51,501204014,2023-04-04 07:41:25,501204020
137136,2023-04-04 07:38:19,501204009,2023-04-04 07:51:52,501205025
137150,2023-04-04 07:39:11,501205014,2023-04-04 07:45:34,501205025
137159,2023-04-04 07:39:40,501205018,2023-04-04 08:33:06,501205018
137175,2023-04-04 07:40:24,501205014,2023-04-04 07:45:03,501205021
137181,2023-04-04 07:40:34,501204003,2023-04-04 07:43:44,501204018
137210,2023-04-04 07:42:01,501203065,2023-04-04 07:59:13,501204020
137224,2023-04-04 07:42:43,501204011,2023-04-04 07:48:04,501204024
137226,2023-04-04 07:42:57,501205034,2023-04-04 07:48:46,501205025
137244,2023-04-04 07:43:59,501201002,2023-04-04 07:49:24,501205021
137295,2023-04-04 07:47:33,501201001,2023-04-04 07:56:07,501205007
137301,2023-04-04 07:47:50,501205018,2023-04-04 07:50:32,501205008
137313,2023-04-04 07:48:31,501201007,2023-04-04 07:59:07,501205007
137321,2023-04-04 07:49:10,501203073,2023-04-04 08:52:46,501205004
137359,2023-04-04 07:51:09,501205023,2023-04-04 07:59:00,501205009
137391,2023-04-04 07:52:51,501204016,2023-04-04 08:25:59,501204016
137400,2023-04-04 07:53:24,501201017,2023-04-04 08:05:21,501205023
137408,2023-04-04 07:54:03,501202088,2023-04-04 08:20:48,501205034
137431,2023-04-04 07:56:00,501205010,2023-04-04 07:58:42,501205025
137441,2023-04-04 07:56:26,501202054,2023-04-04 08:26:41,501204020
137476,2023-04-04 07:58:04,501205031,2023-04-04 08:26:57,501205031
137489,2023-04-04 07:59:02,501204016,2023-04-04 08:19:22,501204016
137492,2023-04-04 07:59:17,501204015,2023-04-04 08:31:15,501204014
137499,2023-04-04 07:59:44,501205021,2023-04-04 08:30:10,501205021
137503,2023-04-04 07:59:57,501205004,2023-04-04 08:09:34,501205021
137511,2023-04-04 08:00:42,501202050,2023-04-04 08:58:49,501205020
137553,2023-04-04 08:02:44,501205014,2023-04-04 08:16:42,501205025
137613,2023-04-04 08:06:15,501203016,2023-04-04 08:22:20,501205007
137614,2023-04-04 08:06:20,501208080,2023-04-04 08:31:53,501205007
137641,2023-04-04 08:07:51,501204012,2023-04-04 08:10:05,501204003
137643,2023-04-04 08:07:53,501203078,2023-04-04 08:19:32,501204013
137662,2023-04-04 08:08:52,501204012,2023-04-04 08:11:26,501204020
137720,2023-04-04 08:12:07,501205010,2023-04-04 08:20:02,501205037
137732,2023-04-04 08:12:57,501205039,2023-04-04 08:27:48,501205039
137739,2023-04-04 08:13:08,501204011,2023-04-04 08:20:01,501204015
137758,2023-04-04 08:13:57,501201002,2023-04-04 08:25:00,501205020
137761,2023-04-04 08:14:07,501204003,2023-04-04 08:22:28,501204003
137768,2023-04-04 08:14:25,501209023,2023-04-04 08:56:40,501204014
137841,2023-04-04 08:17:42,501204024,2023-04-04 08:26:25,501204014
137843,2023-04-04 08:17:47,501204024,2023-04-04 08:26:28,501204014
137855,2023-04-04 08:18:32,501204024,2023-04-04 08:26:35,501204014
137883,2023-04-04 08:20:14,501205018,2023-04-04 08:40:49,501205028
137949,2023-04-04 08:23:13,501205013,2023-04-04 08:29:44,501205021
137959,2023-04-04 08:23:41,501203012,2023-04-04 08:42:23,501204001
137962,2023-04-04 08:23:46,501203012,2023-04-04 08:42:03,501204001
137964,2023-04-04 08:23:51,501204014,2023-04-04 08:32:12,501204021
137980,2023-04-04 08:24:26,501202036,2023-04-04 08:31:36,501205023
138024,2023-04-04 08:26:11,501205007,2023-04-04 08:52:54,501205007
138029,2023-04-04 08:26:25,501204024,2023-04-04 08:30:32,501204023
138031,2023-04-04 08:26:34,501201013,2023-04-04 08:42:44,501205029
138043,2023-04-04 08:27:12,501204021,2023-04-04 08:49:24,501204021
138044,2023-04-04 08:27:14,501205018,2023-04-04 08:33:24,501205013
138099,2023-04-04 08:29:44,501205025,2023-04-04 08:40:12,501205012
138102,2023-04-04 08:29:51,501209065,2023-04-04 08:41:48,501204002
138111,2023-04-04 08:30:23,501202088,2023-04-04 08:49:55,501204016
138143,2023-04-04 08:32:18,501205018,2023-04-04 08:43:07,501205018
138150,2023-04-04 08:32:40,501208096,2023-04-04 08:51:18,501205014
138158,2023-04-04 08:32:53,501205007,2023-04-04 08:43:52,501204021
138173,2023-04-04 08:33:22,501203142,2023-04-04 08:45:56,501205008
138189,2023-04-04 08:34:24,501204020,2023-04-04 08:45:01,501204020
138193,2023-04-04 08:34:33,501201013,2023-04-04 08:40:58,501205012
138199,2023-04-04 08:34:44,501205018,2023-04-04 08:41:11,501205010
138216,2023-04-04 08:35:24,501203001,2023-04-04 08:44:02,501205029
138226,2023-04-04 08:35:51,501205013,2023-04-04 08:44:24,501205026
138252,2023-04-04 08:36:54,501205018,2023-04-04 08:49:27,501205014
138305,2023-04-04 08:39:01,501205009,2023-04-04 08:43:51,501205021
138323,2023-04-04 08:39:41,501204009,2023-04-04 08:52:59,501205007
138424,2023-04-04 08:43:53,501201029,2023-04-04 08:49:42,501205006
138432,2023-04-04 08:44:13,501202085,2023-04-04 08:50:40,501205009
138438,2023-04-04 08:44:29,501205039,2023-04-04 08:57:48,501204017
138461,2023-04-04 08:45:15,501205023,2023-04-04 08:57:34,501205006
138489,2023-04-04 08:46:17,501202050,2023-04-04 08:54:48,501204003
138512,2023-04-04 08:47:10,501204011,2023-04-04 08:54:17,501204003
138522,2023-04-04 08:47:33,501204003,2023-04-04 08:55:33,501204013
138570,2023-04-04 08:49:04,501204003,2023-04-04 08:57:54,501204009
138585,2023-04-04 08:49:46,501202085,2023-04-04 08:53:19,501205025
138819,2023-04-04 08:58:42,501205007,2023-04-04 08:58:59,501205007
178351,2023-04-05 05:49:28,501208082,2023-04-05 06:02:15,501205001
178405,2023-04-05 06:04:05,501205018,2023-04-05 06:20:41,501205018
178407,2023-04-05 06:04:45,501203141,2023-04-05 06:11:57,501204023
178419,2023-04-05 06:06:44,501204008,2023-04-05 07:21:17,501204008
178421,2023-04-05 06:06:56,501204008,2023-04-05 07:21:19,501204008
178425,2023-04-05 06:08:00,501204008,2023-04-05 07:21:07,501204008
178438,2023-04-05 06:10:09,501202085,2023-04-05 07:03:43,501204007
178445,2023-04-05 06:11:20,501205011,2023-04-05 06:17:16,501205023
178471,2023-04-05 06:16:46,501209034,2023-04-05 06:33:17,501205015
178523,2023-04-05 06:23:58,501204003,2023-04-05 06:28:40,501204021
178533,2023-04-05 06:25:20,501201025,2023-04-05 06:37:27,501205031
178560,2023-04-05 06:29:35,501202045,2023-04-05 06:54:21,501204013
178598,2023-04-05 06:34:45,501204009,2023-04-05 08:02:06,501204009
178604,2023-04-05 06:35:04,501204009,2023-04-05 08:02:18,501204009
178625,2023-04-05 06:37:38,501209045,2023-04-05 06:48:33,501204009
178627,2023-04-05 06:38:03,501209066,2023-04-05 07:08:42,501204021
178638,2023-04-05 06:39:04,501205005,2023-04-05 06:56:26,501205025
178643,2023-04-05 06:40:13,501201009,2023-04-05 07:04:05,501204007
178663,2023-04-05 06:42:46,501205026,2023-04-05 07:03:32,501205037
178710,2023-04-05 06:47:37,501201026,2023-04-05 08:02:28,501205026
178746,2023-04-05 06:51:39,501205001,2023-04-05 06:52:23,501205001
178764,2023-04-05 06:52:38,501208030,2023-04-05 07:08:38,501205034
178769,2023-04-05 06:53:14,501205001,2023-04-05 07:01:05,501205001
178771,2023-04-05 06:53:23,501205023,2023-04-05 06:57:11,501205011
178777,2023-04-05 06:53:40,501204021,2023-04-05 08:32:09,501204022
178807,2023-04-05 06:56:50,501209026,2023-04-05 08:20:26,501205025
178809,2023-04-05 06:57:01,501209026,2023-04-05 08:20:43,501205025
178846,2023-04-05 07:01:24,501209073,2023-04-05 07:34:11,501205007
178847,2023-04-05 07:01:34,501209039,2023-04-05 07:08:25,501204015
178868,2023-04-05 07:03:23,501203006,2023-04-05 07:27:33,501205028
178890,2023-04-05 07:05:34,501201022,2023-04-05 07:20:16,501205021
178924,2023-04-05 07:07:59,501203134,2023-04-05 07:34:57,501204009
178926,2023-04-05 07:08:11,501204020,2023-04-05 07:23:43,501204008
178945,2023-04-05 07:09:58,501201002,2023-04-05 07:18:20,501205021
178958,2023-04-05 07:10:43,501204007,2023-04-05 08:20:37,501204007
178982,2023-04-05 07:12:55,501208085,2023-04-05 07:21:22,501205034
178988,2023-04-05 07:13:29,501205006,2023-04-05 07:37:02,501205006
178993,2023-04-05 07:13:47,501203093,2023-04-05 07:43:17,501205015
179005,2023-04-05 07:14:41,501204009,2023-04-05 08:32:25,501204009
179007,2023-04-05 07:14:52,501204004,2023-04-05 08:28:40,501204016
179029,2023-04-05 07:16:46,501204011,2023-04-05 07:23:46,501204024
179035,2023-04-05 07:17:05,501209042,2023-04-05 07:51:32,501204004
179039,2023-04-05 07:18:01,501204009,2023-04-05 08:33:13,501204009
179048,2023-04-05 07:18:49,501204009,2023-04-05 07:37:09,501204009
179067,2023-04-05 07:20:02,501204009,2023-04-05 07:55:41,501204009
179101,2023-04-05 07:23:16,501203111,2023-04-05 07:34:11,501205021
179120,2023-04-05 07:25:11,501205014,2023-04-05 07:30:56,501204017
179124,2023-04-05 07:25:39,501205014,2023-04-05 07:51:42,501205023
179134,2023-04-05 07:26:29,501205014,2023-04-05 07:51:38,501205023
179153,2023-04-05 07:28:07,501203117,2023-04-05 07:40:35,501205023
179177,2023-04-05 07:30:08,501205028,2023-04-05 07:32:26,501205013
179192,2023-04-05 07:31:04,501205013,2023-04-05 07:56:07,501205029
179193,2023-04-05 07:31:27,501209074,2023-04-05 08:44:27,501204021
179196,2023-04-05 07:31:37,501202043,2023-04-05 07:50:59,501205010
179204,2023-04-05 07:32:01,501208053,2023-04-05 07:47:41,501205005
179214,2023-04-05 07:32:35,501205015,2023-04-05 08:28:01,501205015
179215,2023-04-05 07:32:35,501205010,2023-04-05 07:36:21,501205025
179223,2023-04-05 07:33:01,501202055,2023-04-05 07:48:45,501204014
179233,2023-04-05 07:33:48,501202080,2023-04-05 08:24:31,501205003
179252,2023-04-05 07:35:25,501204014,2023-04-05 07:41:21,501204020
179257,2023-04-05 07:35:53,501203065,2023-04-05 08:03:47,501204020
179265,2023-04-05 07:36:33,501203084,2023-04-05 08:19:19,501205038
179266,2023-04-05 07:36:50,501204011,2023-04-05 08:50:56,501204011
179267,2023-04-05 07:37:03,501209026,2023-04-05 08:36:17,501204021
179274,2023-04-05 07:37:32,501204011,2023-04-05 08:50:23,501204011
179298,2023-04-05 07:39:04,501209078,2023-04-05 07:48:48,501205015
179302,2023-04-05 07:39:13,501209078,2023-04-05 07:49:00,501205015
179307,2023-04-05 07:39:27,501205010,2023-04-05 07:42:28,501205011
179348,2023-04-05 07:41:41,501205018,2023-04-05 07:46:29,501205001
179357,2023-04-05 07:42:20,501203003,2023-04-05 07:48:54,501205008
179401,2023-04-05 07:46:01,501205026,2023-04-05 07:49:46,501205035
179411,2023-04-05 07:46:32,501205028,2023-04-05 07:50:30,501205008
179414,2023-04-05 07:46:36,501205009,2023-04-05 07:49:50,501205021
179430,2023-04-05 07:48:09,501205001,2023-04-05 07:49:35,501205021
179481,2023-04-05 07:51:34,501201002,2023-04-05 07:54:33,501205021
179511,2023-04-05 07:53:43,501201017,2023-04-05 07:56:52,501205006
179525,2023-04-05 07:54:49,501203048,2023-04-05 08:24:19,501205001
179581,2023-04-05 07:58:27,501205012,2023-04-05 08:01:41,501205025
179592,2023-04-05 07:59:11,501205010,2023-04-05 08:06:08,501205025
179604,2023-04-05 07:59:58,501205006,2023-04-05 08:27:28,501205006
179614,2023-04-05 08:00:28,501205023,2023-04-05 08:15:44,501205037
179638,2023-04-05 08:02:15,501202035,2023-04-05 08:11:10,501205023
179676,2023-04-05 08:04:53,501205008,2023-04-05 08:15:49,501205008
179686,2023-04-05 08:05:29,501205037,2023-04-05 08:08:57,501205020
179690,2023-04-05 08:05:46,501205026,2023-04-05 08:37:11,501205035
179708,2023-04-05 08:06:50,501203135,2023-04-05 08:25:33,501205007
179716,2023-04-05 08:07:34,501204012,2023-04-05 08:10:10,501204020
179730,2023-04-05 08:08:18,501205028,2023-04-05 08:13:24,501205038
179779,2023-04-05 08:12:03,501205006,2023-04-05 08:33:29,501205006
179782,2023-04-05 08:12:13,501205006,2023-04-05 08:33:25,501205006
179805,2023-04-05 08:13:22,501202058,2023-04-05 08:22:15,501205009
179823,2023-04-05 08:14:24,501203012,2023-04-05 08:27:33,501205010
179861,2023-04-05 08:16:46,501205033,2023-04-05 08:23:14,501205033
179871,2023-04-05 08:17:03,501205018,2023-04-05 08:21:30,501205013
179903,2023-04-05 08:18:41,501205026,2023-04-05 08:28:15,501205031
179917,2023-04-05 08:19:41,501205021,2023-04-05 08:27:04,501205021
179919,2023-04-05 08:19:43,501202050,2023-04-05 08:22:51,501205034
179922,2023-04-05 08:19:51,501208028,2023-04-05 08:36:29,501205012
179940,2023-04-05 08:21:02,501209062,2023-04-05 08:27:09,501204012
179946,2023-04-05 08:21:20,501205009,2023-04-05 08:21:28,501205009
179952,2023-04-05 08:21:58,501203052,2023-04-05 08:38:17,501205010
179986,2023-04-05 08:24:35,501205014,2023-04-05 08:28:44,501205018
180002,2023-04-05 08:25:32,501205029,2023-04-05 08:52:07,501205004
180027,2023-04-05 08:27:37,501205034,2023-04-05 08:45:28,501205034
180030,2023-04-05 08:27:44,501205026,2023-04-05 08:30:26,501205019
180034,2023-04-05 08:27:59,501204012,2023-04-05 08:30:41,501204003
180054,2023-04-05 08:29:20,501205031,2023-04-05 08:36:40,501205010
180070,2023-04-05 08:30:18,501205031,2023-04-05 08:36:38,501205010
180080,2023-04-05 08:30:54,501205019,2023-04-05 08:31:55,501205019
180111,2023-04-05 08:32:05,501201013,2023-04-05 08:38:28,501205012
180118,2023-04-05 08:32:16,501205019,2023-04-05 08:36:48,501205005
180149,2023-04-05 08:34:12,501205018,2023-04-05 08:45:47,501205018
180155,2023-04-05 08:34:25,501205012,2023-04-05 08:36:39,501205025
180169,2023-04-05 08:35:09,501205018,2023-04-05 08:41:16,501205010
